Timestamp,PPS,Avg_Latency_ms,Mode,Workers
21:40:50,34.08,0.4292,SEQUENTIAL,1
21:40:51,29.18,0.4292,SEQUENTIAL,1
21:40:53,6.38,0.4313,SEQUENTIAL,1
21:40:54,18.43,0.4272,SEQUENTIAL,1
21:40:55,8.23,0.4306,SEQUENTIAL,1
21:40:56,2.52,0.4326,SEQUENTIAL,1
21:40:57,55.04,0.4410,SEQUENTIAL,1
21:40:59,16.77,0.4455,SEQUENTIAL,1
21:41:00,7.96,0.4462,SEQUENTIAL,1
21:41:01,16.87,0.4473,SEQUENTIAL,1
21:41:03,54.31,0.4496,SEQUENTIAL,1
21:41:04,15.83,0.4532,SEQUENTIAL,1
21:41:05,19.69,0.4551,SEQUENTIAL,1
21:41:06,53.18,0.4701,SEQUENTIAL,1
21:41:08,14.74,0.4703,SEQUENTIAL,1
21:41:09,36.86,0.4719,SEQUENTIAL,1
21:41:10,8.00,0.4709,SEQUENTIAL,1
21:41:11,19.82,0.4719,SEQUENTIAL,1
21:41:12,27.89,0.4753,SEQUENTIAL,1
21:41:13,14.00,0.4730,SEQUENTIAL,1
21:41:14,4.89,0.4734,SEQUENTIAL,1
21:41:16,2.72,0.4729,SEQUENTIAL,1
21:41:17,22.88,0.4746,SEQUENTIAL,1
21:41:18,14.08,0.4720,SEQUENTIAL,1
21:41:19,14.39,0.4710,SEQUENTIAL,1
21:41:20,8.91,0.4735,SEQUENTIAL,1
21:41:22,9.69,0.4750,SEQUENTIAL,1
21:41:23,17.55,0.4772,SEQUENTIAL,1
21:41:24,26.40,0.4785,SEQUENTIAL,1
21:41:25,17.60,0.4784,SEQUENTIAL,1
21:41:26,7.83,0.4764,SEQUENTIAL,1
21:41:27,3.03,0.4765,SEQUENTIAL,1
21:41:29,6.46,0.4776,SEQUENTIAL,1
21:41:31,15.91,0.4785,SEQUENTIAL,1
21:41:32,17.56,0.4812,SEQUENTIAL,1
21:41:34,4.48,0.4834,SEQUENTIAL,1
21:41:35,21.26,0.4846,SEQUENTIAL,1
21:41:36,39.60,0.4877,SEQUENTIAL,1
21:41:38,20.03,0.4892,SEQUENTIAL,1
21:41:39,24.23,0.4908,SEQUENTIAL,1
21:41:40,8.35,0.4915,SEQUENTIAL,1
21:41:43,3.86,0.4933,SEQUENTIAL,1
21:41:44,15.70,0.4957,SEQUENTIAL,1
21:41:45,30.92,0.4957,SEQUENTIAL,1
21:41:47,14.05,0.4943,SEQUENTIAL,1
21:41:48,8.56,0.4921,SEQUENTIAL,1
21:41:49,15.45,0.4938,SEQUENTIAL,1
21:41:51,9.80,0.4935,SEQUENTIAL,1
21:41:53,9.90,0.4939,SEQUENTIAL,1
21:41:54,10.25,0.4943,SEQUENTIAL,1
21:41:57,1.13,0.4946,SEQUENTIAL,1
21:41:58,15.72,0.4946,SEQUENTIAL,1
21:41:59,20.91,0.4946,SEQUENTIAL,1
21:42:01,3.57,0.4939,SEQUENTIAL,1
21:42:02,22.00,0.4937,SEQUENTIAL,1
